"","X1","#","Name","Type 1","Type 2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Legendary","url","desc.1","desc.2","list.best.stats","best.hp","best.atk","best.def","best.sp.atk","best.sp.def","best.spd"
"30",30,24,"Arbok","Poison",NA,438,60,85,69,65,79,80,1,"False","https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pokémon)","Arbok (Japanese: アーボック Arbok) is a Poison-type Pokémon introduced in Generation I.
","It evolves from Ekans starting at level 22.
","z.spd",0,0,0,0,0,1
"31",31,25,"Pikachu","Electric",NA,320,35,55,40,50,50,90,1,"False","https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pokémon)","Pikachu (Japanese: ピカチュウ Pikachu) is an Electric-type Pokémon introduced in Generation I.
","It evolves from Pichu when leveled up with high friendship and evolves into Raichu when exposed to a Thunder Stone. However, the starter Pikachu in Pokémon Yellow will refuse to evolve into Raichu unless it is traded and evolved on another save file.
","z.spd",0,0,0,0,0,1
"32",32,26,"Raichu","Electric",NA,485,60,90,55,90,80,110,1,"False","https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pokémon)","Raichu (Japanese: ライチュウ Raichu) is an Electric-type Pokémon introduced in Generation I.
","It evolves from Pikachu when exposed to a Thunder Stone. It is the final form of Pichu.
","z.spd",0,0,0,0,0,1
"33",33,27,"Sandshrew","Ground",NA,300,50,75,85,20,30,40,1,"False","https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pokémon)","Sandshrew (Japanese: サンド Sand) is a Ground-type Pokémon introduced in Generation I.
","It evolves into Sandslash starting at level 22.
","z.def",0,0,1,0,0,0
"34",34,28,"Sandslash","Ground",NA,450,75,100,110,45,55,65,1,"False","https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pokémon)","Sandslash (Japanese: サンドパン Sandpan) is a Ground-type Pokémon introduced in Generation I.
","It evolves from Sandshrew starting at level 22.
","z.def",0,0,1,0,0,0
"35",35,29,"Nidoran♀","Poison",NA,275,55,47,52,40,40,41,1,"False","https://bulbapedia.bulbagarden.net/wiki/Nidoran♀_(Pokémon)","Nidoran♀ (Japanese: ニドラン♀ Nidoran♀) is a Poison-type Pokémon introduced in Generation I.
","It evolves into Nidorina starting at level 16, which evolves into Nidoqueen when exposed to a Moon Stone.
","z.hp",1,0,0,0,0,0
"36",36,30,"Nidorina","Poison",NA,365,70,62,67,55,55,56,1,"False","https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pokémon)","Nidorina (Japanese: ニドリーナ  Nidorina) is a Poison-type Pokémon introduced in Generation I.
","It evolves from Nidoran♀ starting at level 16 and evolves into Nidoqueen when exposed to a Moon Stone.
","z.hp",1,0,0,0,0,0
"37",37,31,"Nidoqueen","Poison","Ground",505,90,92,87,75,85,76,1,"False","https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pokémon)","Nidoqueen (Japanese: ニドクイン Nidoqueen) is a dual-type Poison/Ground Pokémon introduced in Generation I.
","It evolves from Nidorina when exposed to a Moon Stone. It is the final form of Nidoran♀.
","z.hp",1,0,0,0,0,0
"38",38,32,"Nidoran♂","Poison",NA,273,46,57,40,40,40,50,1,"False","https://bulbapedia.bulbagarden.net/wiki/Nidoran♂_(Pokémon)","Nidoran♂ (Japanese: ニドラン♂ Nidoran♂) is a Poison-type Pokémon introduced in Generation I.
","It evolves into Nidorino starting at level 16, which evolves into Nidoking when exposed to a Moon Stone.
","z.spd",0,0,0,0,0,1
"39",39,33,"Nidorino","Poison",NA,365,61,72,57,55,55,65,1,"False","https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pokémon)","Nidorino (Japanese: ニドリーノ  Nidorino) is a Poison-type Pokémon introduced in Generation I.
","It evolves from Nidoran♂ starting at level 16 and evolves into Nidoking when exposed to a Moon Stone.
","z.spd",0,0,0,0,0,1
"40",40,34,"Nidoking","Poison","Ground",505,81,102,77,85,75,85,1,"False","https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pokémon)","Nidoking (Japanese: ニドキング Nidoking) is a dual-type Poison/Ground Pokémon introduced in Generation I.
","It evolves from Nidorino when exposed to a Moon Stone. It is the final form of Nidoran♂.
","z.atk",0,1,0,0,0,0
"41",41,35,"Clefairy","Fairy",NA,323,70,45,48,60,65,35,1,"False","https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pokémon)","Clefairy (Japanese: ピッピ Pippi) is a Fairy-type Pokémon introduced in Generation I. Prior to Generation VI, it was a Normal-type Pokémon.
","It evolves from Cleffa when leveled up with high friendship and evolves into Clefable when exposed to a Moon Stone.
","z.hp",1,0,0,0,0,0
"42",42,36,"Clefable","Fairy",NA,483,95,70,73,95,90,60,1,"False","https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pokémon)","Clefable (Japanese: ピクシー Pixy) is a Fairy-type Pokémon introduced in Generation I. Prior to Generation VI, it was a Normal-type Pokémon.
","It evolves from Clefairy when exposed to a Moon Stone. It is the final form of Cleffa.
","z.hp",1,0,0,0,0,0
"43",43,37,"Vulpix","Fire",NA,299,38,41,40,50,65,65,1,"False","https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pokémon)","Vulpix (Japanese: ロコン Rokon) is a Fire-type Pokémon introduced in Generation I.
","It evolves into Ninetales when exposed to a Fire Stone.
","z.spd",0,0,0,0,0,1
"44",44,38,"Ninetales","Fire",NA,505,73,76,75,81,100,100,1,"False","https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pokémon)","Ninetales (Japanese: キュウコン Kyukon) is a Fire-type Pokémon introduced in Generation I.
","It evolves from Vulpix when exposed to a Fire Stone.
","z.spd",0,0,0,0,0,1
"45",45,39,"Jigglypuff","Normal","Fairy",270,115,45,20,45,25,20,1,"False","https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pokémon)","Jigglypuff (Japanese: プリン Purin) is a dual-type Normal/Fairy Pokémon introduced in Generation I. Prior to Generation VI, it was a pure Normal-type Pokémon.
","It evolves from Igglybuff when leveled up with high friendship and evolves into Wigglytuff when exposed to a Moon Stone.
","z.hp",1,0,0,0,0,0
"46",46,40,"Wigglytuff","Normal","Fairy",435,140,70,45,85,50,45,1,"False","https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pokémon)","Wigglytuff (Japanese: プクリン Pukurin) is a dual-type Normal/Fairy Pokémon introduced in Generation I. Prior to Generation VI, it was a pure Normal-type Pokémon.
","It evolves from Jigglypuff when exposed to a Moon Stone. It is the final form of Igglybuff.
","z.hp",1,0,0,0,0,0
"47",47,41,"Zubat","Poison","Flying",245,40,45,35,30,40,55,1,"False","https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pokémon)","Zubat (Japanese: ズバット Zubat) is a dual-type Poison/Flying Pokémon introduced in Generation I.
","It evolves into Golbat starting at level 22, which evolves into Crobat when leveled up with high friendship.
","z.spd",0,0,0,0,0,1
"48",48,42,"Golbat","Poison","Flying",455,75,80,70,65,75,90,1,"False","https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pokémon)","Golbat (Japanese: ゴルバット Golbat) is a dual-type Poison/Flying Pokémon introduced in Generation I.
","It evolves from Zubat starting at level 22 and evolves into Crobat when leveled up with high friendship.
","z.spd",0,0,0,0,0,1
"49",49,43,"Oddish","Grass","Poison",320,45,50,55,75,65,30,1,"False","https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pokémon)","Oddish (Japanese: ナゾノクサ Nazonokusa) is a dual-type Grass/Poison Pokémon introduced in Generation I.
","It evolves into Gloom starting at level 21, which evolves into Vileplume when exposed to a Leaf Stone or into Bellossom when exposed to a Sun Stone.
","z.sp.atk",0,0,0,1,0,0
"50",50,44,"Gloom","Grass","Poison",395,60,65,70,85,75,40,1,"False","https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pokémon)","Gloom (Japanese: クサイハナ Kusaihana) is a dual-type Grass/Poison Pokémon introduced in Generation I.
","It evolves from Oddish at level 21 and evolves into either Vileplume when exposed to a Leaf Stone or Bellossom when exposed to a Sun Stone.
","z.sp.atk",0,0,0,1,0,0
"51",51,45,"Vileplume","Grass","Poison",490,75,80,85,110,90,50,1,"False","https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pokémon)","Vileplume (Japanese: ラフレシア Ruffresia) is a dual-type Grass/Poison Pokémon introduced in Generation I.
","It evolves from Gloom when exposed to a Leaf Stone. It is one of Oddish's final forms, the other being Bellossom.
","z.sp.atk",0,0,0,1,0,0
"52",52,46,"Paras","Bug","Grass",285,35,70,55,45,55,25,1,"False","https://bulbapedia.bulbagarden.net/wiki/Paras_(Pokémon)","Paras (Japanese: パラス  Paras) is a dual-type Bug/Grass Pokémon introduced in Generation I.
","It evolves into Parasect starting at level 24.
","z.atk",0,1,0,0,0,0
"53",53,47,"Parasect","Bug","Grass",405,60,95,80,60,80,30,1,"False","https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pokémon)","Parasect (Japanese: パラセクト Parasect) is a dual-type Bug/Grass Pokémon introduced in Generation I.
","It evolves from Paras starting at level 24.
","z.atk",0,1,0,0,0,0
"54",54,48,"Venonat","Bug","Poison",305,60,55,50,40,55,45,1,"False","https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pokémon)","Venonat (Japanese: コンパン Kongpang) is a dual-type Bug/Poison Pokémon introduced in Generation I.
","It evolves into Venomoth starting at level 31.
","z.hp",1,0,0,0,0,0
"55",55,49,"Venomoth","Bug","Poison",450,70,65,60,90,75,90,1,"False","https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pokémon)","Venomoth (Japanese: モルフォン Morphon) is a dual-type Bug/Poison Pokémon introduced in Generation I.
","It evolves from Venonat starting at level 31.
","z.spd",0,0,0,0,0,1
"56",56,50,"Diglett","Ground",NA,265,10,55,25,35,45,95,1,"False","https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pokémon)","Diglett (Japanese: ディグダ Digda) is a Ground-type Pokémon introduced in Generation I.
","It evolves into Dugtrio starting at level 26.
","z.spd",0,0,0,0,0,1
"57",57,51,"Dugtrio","Ground",NA,405,35,80,50,50,70,120,1,"False","https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pokémon)","Dugtrio (Japanese: ダグトリオ Dugtrio) is a Ground-type Pokémon introduced in Generation I.
","It evolves from Diglett starting at level 26.
","z.spd",0,0,0,0,0,1
"58",58,52,"Meowth","Normal",NA,290,40,45,35,40,40,90,1,"False","https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pokémon)","Meowth (Japanese: ニャース  Nyarth) is a Normal-type Pokémon introduced in Generation I.
","It evolves into Persian starting at level 28.
","z.spd",0,0,0,0,0,1
"59",59,53,"Persian","Normal",NA,440,65,70,60,65,65,115,1,"False","https://bulbapedia.bulbagarden.net/wiki/Persian_(Pokémon)","Persian (Japanese: ペルシアン Persian) is a Normal-type Pokémon introduced in Generation I.
","It evolves from Meowth starting at level 28.
","z.spd",0,0,0,0,0,1
"60",60,54,"Psyduck","Water",NA,320,50,52,48,65,50,55,1,"False","https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pokémon)","Psyduck (Japanese: コダック Koduck) is a Water-type Pokémon introduced in Generation I.
","It evolves into Golduck starting at level 33.
","z.sp.atk",0,0,0,1,0,0
"61",61,55,"Golduck","Water",NA,500,80,82,78,95,80,85,1,"False","https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pokémon)","Golduck (Japanese: ゴルダック Golduck) is a Water-type Pokémon introduced in Generation I.
","It evolves from Psyduck starting at level 33.
","z.sp.atk",0,0,0,1,0,0
"62",62,56,"Mankey","Fighting",NA,305,40,80,35,35,45,70,1,"False","https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pokémon)","Mankey (Japanese: マンキー Mankey) is a Fighting-type Pokémon introduced in Generation I.
","It evolves into Primeape starting at level 28.
","z.spd",0,0,0,0,0,1
"63",63,57,"Primeape","Fighting",NA,455,65,105,60,60,70,95,1,"False","https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pokémon)","Primeape (Japanese: オコリザル Okorizaru) is a Fighting-type Pokémon introduced in Generation I.
","It evolves from Mankey starting at level 28.
","z.spd",0,0,0,0,0,1
"64",64,58,"Growlithe","Fire",NA,350,55,70,45,70,50,60,1,"False","https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pokémon)","Growlithe (Japanese: ガーディ Gardie) is a Fire-type Pokémon introduced in Generation I.
","It evolves into Arcanine when exposed to a Fire Stone.
","z.sp.atk",0,0,0,1,0,0
"65",65,59,"Arcanine","Fire",NA,555,90,110,80,100,80,95,1,"False","https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pokémon)","Arcanine (Japanese: ウインディ Windie) is a Fire-type Pokémon introduced in Generation I.
","It evolves from Growlithe when exposed to a Fire Stone.
","z.atk",0,1,0,0,0,0
"66",66,60,"Poliwag","Water",NA,300,40,50,40,40,40,90,1,"False","https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pokémon)","Poliwag (Japanese: ニョロモ  Nyoromo) is a Water-type Pokémon introduced in Generation I.
","It evolves into Poliwhirl starting at level 25, which evolves into Poliwrath when exposed to a Water Stone or into Politoed when traded holding a King's Rock.
","z.spd",0,0,0,0,0,1
"67",67,61,"Poliwhirl","Water",NA,385,65,65,65,50,50,90,1,"False","https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pokémon)","Poliwhirl (Japanese: ニョロゾ Nyorozo) is a Water-type Pokémon introduced in Generation I.
","It evolves from Poliwag starting at level 25. It evolves into Poliwrath when exposed to a Water Stone or Politoed when traded holding a King's Rock.
","z.spd",0,0,0,0,0,1
"68",68,62,"Poliwrath","Water","Fighting",510,90,95,95,70,90,70,1,"False","https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pokémon)","Poliwrath (Japanese: ニョロボン Nyorobon) is a dual-type Water/Fighting Pokémon introduced in Generation I.
","It evolves from Poliwhirl when exposed to a Water Stone. It is one of Poliwag's final forms, the other being Politoed.
","z.hp",1,0,0,0,0,0
"69",69,63,"Abra","Psychic",NA,310,25,20,15,105,55,90,1,"False","https://bulbapedia.bulbagarden.net/wiki/Abra_(Pokémon)","Abra (Japanese: ケーシィ Casey) is a Psychic-type Pokémon introduced in Generation I.
","It evolves into Kadabra starting at level 16, which evolves into Alakazam when traded.
","z.sp.atk",0,0,0,1,0,0
"70",70,64,"Kadabra","Psychic",NA,400,40,35,30,120,70,105,1,"False","https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pokémon)","Kadabra (Japanese: ユンゲラー Yungerer) is a Psychic-type Pokémon introduced in Generation I.
","It evolves from Abra starting at level 16 and evolves into Alakazam when traded.
","z.sp.atk",0,0,0,1,0,0
"71",71,65,"Alakazam","Psychic",NA,500,55,50,45,135,95,120,1,"False","https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pokémon)","Alakazam (Japanese: フーディン Foodin) is a Psychic-type Pokémon introduced in Generation I.
","It evolves from Kadabra when traded. It is the final form of Abra. It can Mega Evolve into Mega Alakazam using the Alakazite.
","z.sp.atk",0,0,0,1,0,0
"72",72,65,"AlakazamMega Alakazam","Psychic",NA,590,55,50,65,175,95,150,1,"False",NA,"The description information for this Pokemon is not readily accessible.","","z.sp.atk",0,0,0,1,0,0
"73",73,66,"Machop","Fighting",NA,305,70,80,50,35,35,35,1,"False","https://bulbapedia.bulbagarden.net/wiki/Machop_(Pokémon)","Machop (Japanese: ワンリキー Wanriky) is a Fighting-type Pokémon introduced in Generation I.
","It evolves into Machoke starting at level 28, which evolves into Machamp when traded.
","z.atk",0,1,0,0,0,0
"74",74,67,"Machoke","Fighting",NA,405,80,100,70,50,60,45,1,"False","https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pokémon)","Machoke (Japanese: ゴーリキー Goriky) is a Fighting-type Pokémon introduced in Generation I.
","It evolves from Machop starting at level 28 and evolves into Machamp when traded.
","z.atk",0,1,0,0,0,0
"75",75,68,"Machamp","Fighting",NA,505,90,130,80,65,85,55,1,"False","https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pokémon)","Machamp (Japanese: カイリキー Kairiky) is a Fighting-type Pokémon introduced in Generation I.
","It evolves from Machoke when traded. It is the final form of Machop.
","z.atk",0,1,0,0,0,0
"76",76,69,"Bellsprout","Grass","Poison",300,50,75,35,70,30,40,1,"False","https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pokémon)","Bellsprout (Japanese: マダツボミ Madatsubomi) is a dual-type Grass/Poison Pokémon introduced in Generation I.
","It evolves into Weepinbell starting at level 21, which evolves into Victreebel when exposed to a Leaf Stone.
","z.sp.atk",0,0,0,1,0,0
"77",77,70,"Weepinbell","Grass","Poison",390,65,90,50,85,45,55,1,"False","https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pokémon)","Weepinbell (Japanese: ウツドン Utsudon) is a dual-type Grass/Poison Pokémon introduced in Generation I.
","It evolves from Bellsprout starting at level 21 and evolves into Victreebel when exposed to a Leaf Stone.
","z.sp.atk",0,0,0,1,0,0
"78",78,71,"Victreebel","Grass","Poison",490,80,105,65,100,70,70,1,"False","https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pokémon)","Victreebel (Japanese: ウツボット Utsubot) is a dual-type Grass/Poison Pokémon introduced in Generation I.
","It evolves from Weepinbell when exposed to a Leaf Stone. It is the final form of Bellsprout.
","z.sp.atk",0,0,0,1,0,0
"79",79,72,"Tentacool","Water","Poison",335,40,40,35,50,100,70,1,"False","https://bulbapedia.bulbagarden.net/wiki/Tentacool_(Pokémon)","Tentacool (Japanese: メノクラゲ Menokurage) is a dual-type Water/Poison Pokémon introduced in Generation I.
","It evolves into Tentacruel starting at level 30.
","z.sp.def",0,0,0,0,1,0
"80",80,73,"Tentacruel","Water","Poison",515,80,70,65,80,120,100,1,"False","https://bulbapedia.bulbagarden.net/wiki/Tentacruel_(Pokémon)","Tentacruel (Japanese: ドククラゲ Dokukurage) is a dual-type Water/Poison Pokémon introduced in Generation I.
","It evolves from Tentacool starting at level 30.
","z.sp.def",0,0,0,0,1,0
